Name,Rating,Pricing,Location,Reviews,Review Count,Cuisine,Number of Reviews,image_url
ARIARI,5,,"['119 1st Ave', 'New York, NY 10003']","[{'text': ""As a Korean person, I can confidently say that Ariari is one of the best, if not the best, Korean restaurants in NYC. Although some may argue it's pricey..."", 'reviewer': 'esther h.', 'reviewer_id': 'b5qg4CHJPwBjQ8d4m5w6oQ', 'rating': 5}, {'text': ""I'd had this place on my bucket list for a while and finally got a reservation a couple weeks ago. We wanted to try a variety of things, but in the end all..."", 'reviewer': 'Elaine W.', 'reviewer_id': 'JUFi8YGqCIpEgUceD0OEVQ', 'rating': 5}, {'text': 'I had my birthday dinner at Ariari and it did not disappoint! I specifically wanted to eat a different take on traditional Korean comfort dishes.\n\nI made a...', 'reviewer': 'Jackie O.', 'reviewer_id': 'M4HtYbv9-SJ8eXt7qshj2A', 'rating': 5}]",3,Korean,100,https://s3-media1.fl.yelpcdn.com/bphoto/x5UIZSKaoM09z4r_ASxp-A/o.jpg
Trust Bae,5,$$$$,"['1204 Broadway', 'New York, NY 10001']","[{'text': 'I went to Trust Bae for date night and it was such a special experience. We sat right in front of celebrity Chef Frances and watched her prepare the...', 'reviewer': 'Christina L.', 'reviewer_id': 'BWZzuWmB-s9RJG_qDsuo3g', 'rating': 5}, {'text': 'TLDR: so excited for a Filipino fine dining experience in the city that I can wholeheartedly say I love. No disappointing aspects of the meal, great...', 'reviewer': 'Nathaniel P.', 'reviewer_id': 'RK-aEsHzAfwS8aJY46fK7Q', 'rating': 5}, {'text': ""Wow. What an experience. Chef Pais has such an incredible personality. I am sure this place will be an incredible success. It's only about a month old. Love..."", 'reviewer': 'Ty H.', 'reviewer_id': 'RgihRZ2_z0MyB5KFzV0Y1A', 'rating': 5}]",3,Japanese,6,https://s3-media2.fl.yelpcdn.com/bphoto/rVw5usWHy6MCIxORAbMPHQ/o.jpg
Taboonette,4,$$,"['30 E 13th St', 'New York, NY 10003']","[{'text': 'I absolutely loved my meal at this hidden gem!! I ordered the warm kale salad, which came with chickpeas, sweet potato, carrots, citrus cilantro...', 'reviewer': 'Alexa R.', 'reviewer_id': 'YoWoFEwAa9xEXPr7QQ8Tzw', 'rating': 5}, {'text': 'Came here after a very exhausting flight for a simple dinner.\nSmall shop but really well maintained and clean inside with a cute design. Few spots to sit...', 'reviewer': 'Jason L.', 'reviewer_id': 'yKJtkxjwf7HhJazRLwDPAg', 'rating': 5}, {'text': 'Folks this is the real deal when it comes to Israeli food . I wish we had this quality in the Bay Area  in California . \nWe were passing by on a Thu noon ,...', 'reviewer': 'Yarn Y.', 'reviewer_id': 'Ck43vuJu1c399KZonEvLjQ', 'rating': 4}]",3,Mediterranean,991,https://s3-media1.fl.yelpcdn.com/bphoto/5HaWSDsOVcQKZtH2aP80nw/o.jpg
Bad Roman,5,,"['10 Columbus Cir', 'New York, NY 10019']","[{'text': 'Immaculate vibes and the coolest bathroom -- it was giving Slytherin. The whipped ricotta and lemon cheesecake are musts. \n\nHowever, you can skip the roni...', 'reviewer': 'Rose B.', 'reviewer_id': 'L21fWPt5Xu6pL_nhgFjJ7w', 'rating': 4}, {'text': ""PROS- great staff/drinks/food\nCONS - mall, mall people, mall people vibe.\nI have 3 stars and that's a honest lowest assessment I give a place. From the..."", 'reviewer': 'Vik P.', 'reviewer_id': 'fN94cyC4-bNLzBTVyhIiGA', 'rating': 3}, {'text': ""The food here is unreal. I didn't know this place existed but apparently it has quite a buzz. My friend made a reservation for us a month in advance. We..."", 'reviewer': 'Brittany A.', 'reviewer_id': 'EaPesKt971ogzsO8wjWc5w', 'rating': 5}]",3,American (New),86,https://s3-media3.fl.yelpcdn.com/bphoto/cU7SyNOn3RU9axmGoyZ4SQ/o.jpg
bōm,5,,"['17 W 19th St', 'New York, NY 10011']","[{'text': ""Bōm is the new Korean meat-forward chef's table from the folks (literally and metaphorically) behind the Michelin 1 Star Oiji Mi. As a foodie who loves..."", 'reviewer': 'William K.', 'reviewer_id': 'HrOYGQW1J1XqDQKZ9S3PIw', 'rating': 5}, {'text': ""Just... incredible. \n\nI'll preface this by saying I never write Yelp reviews for restaurants, but I've been fortunate enough to enjoy a lot of fine dining..."", 'reviewer': 'Frances S.', 'reviewer_id': '908BjzGaN0Tg5ChRAwxpAQ', 'rating': 5}]",2,Korean,2,https://s3-media2.fl.yelpcdn.com/bphoto/OxNjuikWYIwqoW4stlrFDA/o.jpg
Ichibantei,1,$$,"['401 E 13th St', 'New York, NY 10009']","[{'text': ""Came here unexpectedly when we couldn't decide on what to eat for a late lunch.\n\nWe ordered the karaage and oyaku don to share. It was a delicious, homey,..."", 'reviewer': 'Khrystine C.', 'reviewer_id': 'gb6BFthBorvUiwivvWAmiQ', 'rating': 4}, {'text': ""Okay, I wasn't sure what to expect from Ichibantei. It was late on a Sunday and I wanted something delicious and didn't want pizza/fast food/halal cart/big..."", 'reviewer': 'Katrina T.', 'reviewer_id': 'rFBzTPF6hDczl2Yq_UcjjQ', 'rating': 4}, {'text': 'I ordered today from door dash expecting it to be really juicy and tender and the portion I got was mostly the fatty pieces. I asked for medium rare and I...', 'reviewer': 'Mickie K.', 'reviewer_id': 'iybiAJB945fna9FQJa_zuQ', 'rating': 1}]",3,Japanese,284,https://s3-media2.fl.yelpcdn.com/bphoto/syVfmMRovMpJiPXLs4EUyQ/o.jpg
Sobak,5,$$,"['51B Canal St', 'New York, NY 10002']","[{'text': 'Went with a healthy lunch today after my workout! Popped in and was able to try their signature Bibimbap- incredible flavor and so filling! Highly recommend...', 'reviewer': 'Sarah P.', 'reviewer_id': 'PQRrKlyxZ8mJponoP8MU5Q', 'rating': 5}, {'text': 'I went there with my friends and they all say the food was really good & I really love staff members they are very friendly to me & my friends & the...', 'reviewer': 'Asuna Y.', 'reviewer_id': 'Fw-Nvfgk_5NHGZeXjltolQ', 'rating': 4}, {'text': ""Although I'm sad that this new restaurant took over the old Perfect Taste, I'm glad to see that it's alive again. Still a literal hole in the wall, the..."", 'reviewer': 'Tony Y.', 'reviewer_id': 'FPv27CkYLodbfz3gj5Fnkg', 'rating': 5}]",3,Korean,16,https://s3-media4.fl.yelpcdn.com/bphoto/jIzMOv8F8L5Yk1E-1KYQtg/o.jpg
Celestine,5,$$$,"['1 John St', 'Brooklyn, NY 11201']","[{'text': 'I always want to order everything off the menu since everything is so delicious. From the warm flatbread, to the beet salad w whipped feta and blood orange...', 'reviewer': 'Angie I.', 'reviewer_id': 'q_WXlzn-6tR6w0yb4ajngQ', 'rating': 5}, {'text': ""Came here on a Thursday night to celebrate a friends Birthday. The only thing I would ever come back is for the view... It's definitely a great view of the..."", 'reviewer': 'Yoona K.', 'reviewer_id': 'PZUV833B5n4QnB8scSNvXQ', 'rating': 3}, {'text': 'Came here with a reservation and sat outside (lunch). The ambiance really set the tone for how nice this restaurant was. Tucked away from the New York...', 'reviewer': 'Jose M.', 'reviewer_id': 'qooB6wgrXnqf4Gk-ipvyyw', 'rating': 5}]",3,Mediterranean,280,https://s3-media3.fl.yelpcdn.com/bphoto/p98BTWB9IIb4RQyDQw13ZQ/o.jpg
La Grande Boucherie,5,$$$,"['145 W 53rd St', 'New York, NY 10019']","[{'text': 'What a beautiful place! Relaxed and cozy vibe, professional service ( thank you Namik, manager Julio ) and delicious food. Paris Brest and Raspberry are...', 'reviewer': 'alina k.', 'reviewer_id': 'wqNn1nDR0X0p09VW7gsrQg', 'rating': 5}, {'text': 'A great experience, the food was luxurious, really exquisite, all the dishes tasted had a lot of flavor, and another important point was the service and the...', 'reviewer': 'Sophia R.', 'reviewer_id': 'rR0i68fqhXRRDbwwBMYj0w', 'rating': 5}, {'text': ""Love the menu and collection of wine here as always. Great food and atmosphere. Best thing is Al, who's very attentive and knowledgeable about the wine and..."", 'reviewer': 'Mary C.', 'reviewer_id': 'm7mJBkflMEeJCJggJ2Nkvg', 'rating': 5}]",3,French,2166,https://s3-media3.fl.yelpcdn.com/bphoto/b9URGcuuhnLq7J-__pHIng/o.jpg
Boqueria Soho,5,$$,"['171 Spring St', 'New York, NY 10012']","[{'text': 'Went here for lunch on a weekday and the restaurant was pretty empty. Service was great and the the food was also really good! We ordered a bunch of tapas,...', 'reviewer': 'Alicia L.', 'reviewer_id': 'ZGalZpBGxRlj-TRV6G92bQ', 'rating': 5}, {'text': 'We came as a table of four and got a variety of tapas including bacon wrapped dates, albondigas, pulpo, lamb, French toast, and churros. \n\nFor drinks we got...', 'reviewer': 'Christine H.', 'reviewer_id': 'u0x3SXagjYDbI2N4sgJ0Tw', 'rating': 4}, {'text': 'The paella was phenomenal. It was everything I was craving. \n\nThat is all.', 'reviewer': 'Clara P.', 'reviewer_id': '8YEaETwwwjlMqS7UGiN_ww', 'rating': 5}]",3,Spanish,1224,https://s3-media1.fl.yelpcdn.com/bphoto/puIMtnfeTbpXZLwPIzBUyw/o.jpg
