Name,Rating,Pricing,Location,Cuisine,n_reviews,image_url,reviews
ARIARI,5,,'New York,Korean,100,https://s3-media1.fl.yelpcdn.com/bphoto/x5UIZSKaoM09z4r_ASxp-A/o.jpg,As Korean person I confidently say Ariari one best best Korean restaurant NYC Although may argue pricey I place bucket list finally get reservation couple week ago We want try variety thing end I birthday dinner Ariari disappoint I specifically want eat different take traditional Korean comfort make O
Trust Bae,5,$$$$,'New York,Japanese,6,https://s3-media2.fl.yelpcdn.com/bphoto/rVw5usWHy6MCIxORAbMPHQ/o.jpg,I go Trust Bae date night special experience We sit right front celebrity Chef Frances watch prepare excite Filipino fine din experience city I wholeheartedly say I love No disappointing aspect meal great Wow What experience Chef Pais incredible personality I sure place incredible success It month old Love
Taboonette,4,$$,'New York,Mediterranean,991,https://s3-media1.fl.yelpcdn.com/bphoto/5HaWSDsOVcQKZtH2aP80nw/o.jpg,I absolutely love meal hidden gem I order warm kale salad come chickpea sweet potato carrot citrus cilantro exhausting flight simple shop really well maintain clean inside cute design Few spot sit real deal come Israeli food I wish quality Bay Area California pass Thu noon Y
Bad Roman,5,,'New York,American (New),86,https://s3-media3.fl.yelpcdn.com/bphoto/cU7SyNOn3RU9axmGoyZ4SQ/o.jpg,vibe coolest bathroom give Slytherin The whipped ricotta lemon cheesecake must skip roni B great mall mall people mall people star honest lowest assessment I give place From The food unreal I know place exist apparently quite buzz My friend make reservation u month advance We A
bōm,5,,'New York,Korean,2,https://s3-media2.fl.yelpcdn.com/bphoto/OxNjuikWYIwqoW4stlrFDA/o.jpg,Bōm new Korean chef table folk literally metaphorically behind Michelin Star Oiji Mi As foodie love Just incredible preface say I never write Yelp review restaurant I fortunate enough enjoy lot fine dining
Ichibantei,1,$$,'New York,Japanese,284,https://s3-media2.fl.yelpcdn.com/bphoto/syVfmMRovMpJiPXLs4EUyQ/o.jpg,Came unexpectedly could decide eat late order karaage oyaku share It delicious homey Okay I sure expect Ichibantei It late Sunday I want something delicious want I order today door dash expect really juicy tender portion I get mostly fatty piece I ask medium rare I
Sobak,5,$$,'New York,Korean,16,https://s3-media4.fl.yelpcdn.com/bphoto/jIzMOv8F8L5Yk1E-1KYQtg/o.jpg,healthy lunch today workout Popped able try signature incredible flavor filling Highly recommend I go friend say food really good I really love staff member friendly friend Y Although I sad new restaurant take old Perfect Taste I glad see alive Still literal hole wall Y
Celestine,5,$$$,'Brooklyn,Mediterranean,280,https://s3-media3.fl.yelpcdn.com/bphoto/p98BTWB9IIb4RQyDQw13ZQ/o.jpg,I always want order everything menu since everything delicious From warm flatbread beet salad w whip feta blood orange I Came Thursday night celebrate friend Birthday The thing I would ever come back view It definitely great view reservation sit outside lunch The ambiance really set tone nice restaurant Tucked away New York
La Grande Boucherie,5,$$$,'New York,French,2166,https://s3-media3.fl.yelpcdn.com/bphoto/b9URGcuuhnLq7J-__pHIng/o.jpg,beautiful place Relaxed cozy vibe professional service thank Namik manager Julio delicious food Paris Brest Raspberry A great experience food luxurious really exquisite dish taste lot flavor another important point service Love menu collection wine always Great food atmosphere Best thing Al attentive knowledgeable wine
Boqueria Soho,5,$$,'New York,Spanish,1224,https://s3-media1.fl.yelpcdn.com/bphoto/puIMtnfeTbpXZLwPIzBUyw/o.jpg,lunch weekday restaurant pretty empty Service great food also really good We order bunch tapa come table four get variety tapa include bacon wrap date albondigas pulpo lamb French toast churros drink get paella phenomenal It everything I crave
Wah Fung No 1,5,$,'New York,Fast Food,1999,https://s3-media4.fl.yelpcdn.com/bphoto/uO14Qw1yVeNln4z8Pr68aQ/o.jpg,notable Wah Fung value eats definitely list two item roast pork duck friend We go eat another Maybe I spoiled time I get spend Chinatown San huge fan find tasty food good price And B I go today college class wait line minute many people wait go line
Bar Lula,5,,'New York,Cocktail Bars,46,https://s3-media2.fl.yelpcdn.com/bphoto/J4C2_YmJf33QCYVkW-VvZQ/o.jpg,food service ambiance breathe fresh air neighborhood Such great vibe night friend date Came From team Wildair come nice bar downtown great drink shareable plate Frida drink hit miss unfortunately glad try place great small group date The food tasty unique cool try fusion food beef tartare
Kuun,4,$$$,'Brooklyn,Korean,221,https://s3-media3.fl.yelpcdn.com/bphoto/Y6Aas_QbGHCkq6McOVwIHw/o.jpg,I Korean food world include Seoul South Korea may one best meal life certainly top Korean Great good food small portion price Good date night I would go way come food decor vibe cute Great date night place catch friend inside aesthetically
DOMODOMO - New York,4,$$$,'New York,Japanese,1534,https://s3-media1.fl.yelpcdn.com/bphoto/YX89PDM_-aBCL2USyNyhuw/o.jpg,without reservation Monday night get seat right away even though pretty pack The oyster bar spacious ambiance I want like domodomo lot I I come birthday dinner altogether order one sushi sashimi combo sushi handroll set come great selection item price start come salmon sashimi marinate yuzu
JeJu Noodle Bar,5,$$,'New York,Korean,908,https://s3-media3.fl.yelpcdn.com/bphoto/4jdSz6yjcxWwhSzykKZfIg/o.jpg,GET THE TORO SSAM BAP It week since visit JeJu I ca stop think It might best thing I eat Manhattan place worth try toro ssam bap every dish toro ssam bap highlight u really come dish din experience Jeju Noodle Bar excellent The intimate atmosphere dish modern twist perfect combination
Mắm,5,,'New York,Vietnamese,26,https://s3-media1.fl.yelpcdn.com/bphoto/E8dvBeRP-43EX9sfJBbGFQ/o.jpg,I Obsessed Great value quaint spot unique Vietnamese dish wo find typical NY restaurant We realize make Authentic little mom pop shop serve good bo bun hue When see pork knuckle know real deal I try Vietnamese food around country include hub know like Northern Southern California I wish NYC authentic
Shu Jiao Fu Zhou,5,$,'New York,Chinese,1208,https://s3-media2.fl.yelpcdn.com/bphoto/Nmkgn1o5hidyES6mWk8VHg/o.jpg,I eat long GO TO spot frozen dumpling This home cook version chili oil dumpling use Shu Jiao I saw place TikTok really cheap dumpling bargain price When I get I realize everything still cheap Fujianese dumpling Cash Fast fast Line move quickly Not easy find seat want eat quickly If nice
Carne Mare,5,,'Pier 17',Steakhouses,184,https://s3-media4.fl.yelpcdn.com/bphoto/fwpce8K4gCL77gy8aydfnQ/o.jpg,I come boyfriend birthday Saturday night amaze To start change reservation time last minute good pretty standard steak Friday night bridge tunnel take get table min dinner restaurant excellent tuna appetizer steak entree favorite steak nyc
